Found words	Ocurrence	Topic
management	1	corporate responsibility|NOUN
obligations	2	corporate responsibility|NOUN
marketing	7	corporate responsibility|NOUN
companies	12	corporate responsibility|NOUN
interests	8	corporate responsibility|NOUN
compliance	1	corporate responsibility|NOUN
policies	3	corporate responsibility|NOUN
participation	2	corporate responsibility|NOUN
reorganization	1	corporate responsibility|NOUN
restructuring	1	corporate responsibility|NOUN
obligation	3	corporate responsibility|NOUN
authority	2	corporate responsibility|NOUN
communications	9	corporate responsibility|NOUN
business	3	corporate responsibility|NOUN
communication	10	corporate responsibility|NOUN
provision	2	corporate responsibility|NOUN
involvement	1	corporate responsibility|NOUN
companies	12	corporates|NOUN
privacy	34	data privacy|NOUN
data	18	data privacy|NOUN
information	147	data privacy|NOUN
database	2	data privacy|NOUN
databases	1	data privacy|NOUN
service	91	digital services|NOUN
services	23	digital services|NOUN
marketing	7	digital services|NOUN
technology	2	digital services|NOUN
platforms	7	digital services|NOUN
platform	8	digital services|NOUN
infrastructure	1	digital services|NOUN
programs	2	digital services|NOUN
provider	19	digital services|NOUN
providers	18	digital services|NOUN
communication	10	digital services|NOUN
communications	9	digital services|NOUN
technologies	21	digital services|NOUN
applications	6	digital services|NOUN
distribution	2	digitalization|NOUN
configuration	1	digitalization|NOUN
presentation	1	digitalization|NOUN
functionality	3	digitalization|NOUN
function	8	digitalization|NOUN
verification	1	digitalization|NOUN
technology	2	digitalization|NOUN
infrastructure	1	digitalization|NOUN
participation	2	digitalization|NOUN
modification	1	digitalization|NOUN
applications	6	digitalization|NOUN
registration	2	digitalization|NOUN
interactions	6	digitalization|NOUN
authentication	1	digitalization|NOUN
development	1	digitalization|NOUN
notifications	8	digitalization|NOUN
identification	1	digitalization|NOUN
regulations	1	digitalization|NOUN
technologies	21	digitalization|NOUN
improvements	1	digitalization|NOUN
measurement	8	digitalization|NOUN
deactivation	1	digitalization|NOUN
optimization	4	digitalization|NOUN
conjunction	1	digitalization|NOUN
activation	2	digitalization|NOUN
application	8	digitalization|NOUN
transactions	2	digitalization|NOUN
management	1	digitalization|NOUN
portability	1	digitalization|NOUN
marketing	7	digitalization|NOUN
completion	1	digitalization|NOUN
processing	8	digitalization|NOUN
effectiveness	5	digitalization|NOUN
reorganization	1	digitalization|NOUN
restructuring	1	digitalization|NOUN
regulation	2	digitalization|NOUN
communications	9	digitalization|NOUN
communication	10	digitalization|NOUN
interaction	7	digitalization|NOUN
retention	3	digitalization|NOUN
recommendations	8	ethical guidelines|NOUN
compliance	1	ethical guidelines|NOUN
policies	3	ethical guidelines|NOUN
practices	5	ethical guidelines|NOUN
suggestions	1	ethical guidelines|NOUN
regulations	1	ethical guidelines|NOUN
recommendation	9	ethical guidelines|NOUN
regulation	2	ethical guidelines|NOUN
distribution	2	digitization|NOUN
configuration	1	digitization|NOUN
presentation	1	digitization|NOUN
functionality	3	digitization|NOUN
function	8	digitization|NOUN
verification	1	digitization|NOUN
technology	2	digitization|NOUN
connection	8	digitization|NOUN
document	1	digitization|NOUN
infrastructure	1	digitization|NOUN
participation	2	digitization|NOUN
modification	1	digitization|NOUN
operation	4	digitization|NOUN
applications	6	digitization|NOUN
registration	2	digitization|NOUN
instructions	2	digitization|NOUN
interactions	6	digitization|NOUN
addition	4	digitization|NOUN
collection	8	digitization|NOUN
authentication	1	digitization|NOUN
development	1	digitization|NOUN
notifications	8	digitization|NOUN
identification	1	digitization|NOUN
regulations	1	digitization|NOUN
recommendation	9	digitization|NOUN
technologies	21	digitization|NOUN
improvements	1	digitization|NOUN
measurement	8	digitization|NOUN
deactivation	1	digitization|NOUN
optimization	4	digitization|NOUN
